handle,SiteName,FirstName,LastName,email,password,experience,interests_tags,following_users,profile_fg,profile_bg,Gender,User
amanda_styles,Official Amanda,amanda,styles,amanda@gmail.com,amanda,amanda designer,"#branding,#fashion","@ben_phics,@tyreece_santiago,@ephraim_rivas,@spencer_povey ",./shayla_sparks/Profile and Background Image/Shayla Sparks/shayla_sparks_bg.jpg,./shayla_sparks/Profile and Background Image/Shayla Sparks/shayla_sparks_fg.jpg,w,1
ben_phics,Official Ben,ben,phics,ben@gmail.com,ben,ben designer,"#branding,#packaging","@lola_lake,@shayla_sparks,@anais_morin,@sultan_morgan",./ben_phics/Profile and Background Image/Ben Phics/ben_phics_fg.jpg,./ben_phics/Profile and Background Image/Ben Phics/ben_phics_bg.jpg,m,2
emrys_lynch,Official Emrys,emrys,lynch,emrys@gmail.com,emrys,emrys photography,"#branding,#fashion","@chloe_evans,@asiyah_becker,@steffan_harper,@leena_mclean",./emrys_lynch/Profile and Background Image/PROFILE AND BACKGROUND/emrys_lynch_fg.jpg,./emrys_lynch/Profile and Background Image/PROFILE AND BACKGROUND/emrys_lynch_bg.jpg,w,3
lola_lake,Official Lake,lola ,lake,lola@gmail.com,lola ,lola photography,"#travel,#lifestyle","@lamar_gregory,@matthew_hinton,@ephraim_rivas,@sultan_morgan",./lola_lake/Profile and Background Images/Lola Lake/lola_lake_fg.jpg,./lola_lake/Profile and Background Images/Lola Lake/lola_lake_bg.jpg,w,4
lexi_vo,Official Lexi,lexi ,vo,lexi@gmail.com,lexi ,lexi  designer,"#branding,#lifestyle","@ameen_hunter,@alyssia_williamson,@priyanka_mays,@melissa_ramsay",./lexi_vo/Profile and Background Image/Lexi Vo/lexi_vo_fg.jpg,./lexi_vo/Profile and Background Image/Lexi Vo/lexi_vo_bg.jpg,w,5
shayla_sparks,Official Shayla,shayla ,sparks,shayla@gmail.com,shayla ,shayla  photography,"#portraits,#travel","@dean_kelly,@anais_morin,@manon_avila,@steffan_harper",./shayla_sparks/Profile and Background Image/Shayla Sparks/shayla_sparks_fg.jpg,./shayla_sparks/Profile and Background Image/Shayla Sparks/shayla_sparks_bg.jpg,w,6
tyreece_santiago,Official Tyreece,tyreece ,santiago,tyreece@gmail.com,tyreece ,tyreece  designer,"#branding,#packaging","@theodore_gibbs,@leena_mclean,@josh_howells,@nabeel_clifford",./tyreece_santiago/Profile and Background Images/Tyreece Santiago/tyreece_santiago_fg.jpg,./tyreece_santiago/Profile and Background Images/Tyreece Santiago/tyreece_santiago_bg.jpg,m,7
manon_avila,Official Manon,manon ,avila,manon@gmail.com,manon ,manon  photography,"#travel,#portraits","@anais_morin,@sultan_morgan,@alyssia_williamson,@shayla_sparks",./manon_avila/Profile and Background Images/Manon Avila/manon_avila_fg.jpg,./manon_avila/Profile and Background Images/Manon Avila/manon_avila_bg.jpg,m,8
spencer_povey,Official Spencer ,spencer ,povey,spencer@gmail.com,spencer ,spencer  model,"#travel,#fashion","@priyanka_mays,@anais_morin,@massimo_garner,@lamar_gregory",./spencer_povey/Profile and Background Images/Spencer Povey/spencer_povey_fg.jpg,./spencer_povey/Profile and Background Images/Spencer Povey/spencer_povey_bg.jpg,m,9
theodore_gibbs,Official Theodore ,theodore ,gibbs,theodore@gmail.com,theodore ,theodore  photography,"#branding,#lifestyle","@lamar_gregory,@ameen_hunter,@nabeel_clifford,@emrys_lynch",./theodore_gibbs/Profile and Background Images/Theodore Gibbs/theodore_gibbs_fg.jpg,./theodore_gibbs/Profile and Background Images/Theodore Gibbs/theodore_gibbs_bg.jpg,m,10
